task_id,task_name,arrival_time,execution_time,deadline,priority,cpu_req,memory_req,storage_req,data_transfer_size,task_type,dependencies,sla_critical
T76,Task_76,9,4,94,5,4,529,1000,389,computation,T29,True
T77,Task_77,32,2,73,4,4,372,691,399,computation,,True
T78,Task_78,30,5,79,5,2,1151,731,381,IO-bound,,True
T79,Task_79,11,6,47,1,4,731,250,170,IO-bound,"T20,T51",True
T80,Task_80,41,8,41,4,3,326,703,490,data-intensive,,False
T81,Task_81,10,10,56,5,2,437,823,408,computation,T80,False
T82,Task_82,26,7,64,3,2,653,911,408,IO-bound,T19,True
T83,Task_83,27,1,25,2,2,1290,971,388,IO-bound,"T56,T26",True
T84,Task_84,0,9,79,5,2,1454,293,264,data-intensive,,False
T85,Task_85,24,9,70,1,1,2002,649,128,computation,"T31,T48",True
T86,Task_86,8,4,67,1,2,1114,464,462,data-intensive,"T35,T4",False
T87,Task_87,43,3,58,3,2,1224,559,29,data-intensive,"T82,T46",False
T88,Task_88,35,1,77,4,3,958,850,189,computation,T6,False
T89,Task_89,45,7,34,2,3,1606,839,69,computation,"T20,T70",False
T90,Task_90,1,5,47,5,1,1354,906,166,IO-bound,"T11,T37",False
T91,Task_91,1,6,32,2,3,1365,985,483,data-intensive,,False
T92,Task_92,40,8,44,4,2,1731,621,91,IO-bound,T84,False
T93,Task_93,47,7,84,1,2,1971,196,157,data-intensive,T73,True
T94,Task_94,41,1,64,2,2,1416,534,203,IO-bound,"T65,T84",False
T95,Task_95,10,3,73,2,2,1024,780,275,computation,"T28,T40",False
T96,Task_96,37,9,76,5,1,711,966,185,computation,,False
T97,Task_97,23,5,60,4,3,1728,100,396,computation,"T10,T60",True
T98,Task_98,49,1,37,2,4,1242,260,43,IO-bound,,False
T99,Task_99,41,9,44,3,1,1483,972,218,data-intensive,"T2,T22",False
T100,Task_100,8,1,53,2,2,1983,457,13,data-intensive,"T79,T72",True
T101,Task_101,38,3,50,1,2,832,436,212,computation,"T15,T41",True
T102,Task_102,44,9,78,4,1,1062,911,469,data-intensive,"T60,T22",False
T103,Task_103,8,7,76,4,1,666,325,128,IO-bound,,False
T104,Task_104,3,3,20,3,2,815,863,402,IO-bound,,False
T105,Task_105,44,2,87,2,3,374,954,342,data-intensive,T3,True
T106,Task_106,38,10,76,1,1,1708,149,373,data-intensive,,True
T107,Task_107,28,9,98,2,3,603,975,470,computation,"T5,T80",True
T108,Task_108,43,9,65,1,2,1405,736,110,data-intensive,T21,False
T109,Task_109,33,3,40,5,1,1236,100,163,data-intensive,,False
T110,Task_110,17,5,72,3,4,1146,216,418,IO-bound,"T66,T57",True
T111,Task_111,20,5,45,4,4,465,108,169,computation,,False
T112,Task_112,45,3,52,1,1,269,266,437,computation,T55,True
T113,Task_113,17,5,57,4,3,1701,257,213,IO-bound,,True
T114,Task_114,30,2,92,1,1,1447,930,40,data-intensive,"T95,T53",True
T115,Task_115,31,9,51,1,2,1496,373,235,computation,T8,False
T116,Task_116,11,9,42,5,2,1757,594,28,IO-bound,,False
T117,Task_117,32,9,72,2,2,907,418,187,IO-bound,"T115,T84",False
T118,Task_118,28,4,77,3,3,628,207,298,IO-bound,T96,True
T119,Task_119,4,1,94,5,4,1517,611,147,computation,,True
T120,Task_120,13,4,89,1,4,359,213,47,data-intensive,"T29,T23",False
T121,Task_121,26,9,86,3,2,1452,419,44,IO-bound,"T64,T105",False
T122,Task_122,31,10,64,4,2,541,751,285,computation,T28,True
T123,Task_123,25,3,88,4,4,2044,971,191,IO-bound,,True
T124,Task_124,36,8,45,2,4,1629,977,144,data-intensive,,False
T125,Task_125,2,6,51,1,4,413,454,143,IO-bound,"T108,T42",False
T126,Task_126,39,8,39,5,1,1500,506,29,computation,"T51,T48",False
T127,Task_127,25,6,98,4,2,399,967,140,computation,T78,False
T128,Task_128,22,2,34,3,3,1476,787,275,IO-bound,T104,False
T129,Task_129,42,1,66,5,2,618,863,66,data-intensive,,True
T130,Task_130,1,8,67,4,2,1110,260,253,IO-bound,,True
T131,Task_131,25,4,68,1,2,330,355,96,IO-bound,"T125,T8",True
T132,Task_132,38,9,66,2,3,1862,401,338,data-intensive,"T6,T23",False
T133,Task_133,5,2,27,2,3,1770,133,401,data-intensive,"T55,T25",False
T134,Task_134,17,8,49,5,3,459,838,422,IO-bound,,True
T135,Task_135,9,2,56,4,2,1000,313,466,data-intensive,,True
T136,Task_136,10,10,95,3,1,1566,979,230,computation,,True
T137,Task_137,20,4,84,5,4,1480,647,282,computation,T116,False
T138,Task_138,34,9,60,5,1,572,468,54,IO-bound,"T63,T123",False
T139,Task_139,50,4,43,1,1,683,866,271,data-intensive,,True
T140,Task_140,34,7,58,1,2,437,667,64,IO-bound,"T113,T127",True
T141,Task_141,3,4,35,2,2,1637,615,115,data-intensive,"T71,T93",True
T142,Task_142,0,7,37,5,3,458,601,407,computation,"T80,T38",False
T143,Task_143,41,2,66,3,4,1340,693,89,computation,"T85,T109",False
T144,Task_144,39,6,55,2,2,546,351,48,IO-bound,"T91,T46",False
T145,Task_145,15,6,100,1,1,1999,254,493,IO-bound,,False
T146,Task_146,6,1,75,2,4,1249,165,372,data-intensive,"T51,T100",True
T147,Task_147,15,5,44,5,4,404,504,311,IO-bound,T82,False
T148,Task_148,30,7,39,1,4,731,734,464,data-intensive,"T79,T96",False
T149,Task_149,22,10,71,1,2,1882,512,498,computation,"T34,T136",False
T150,Task_150,19,7,46,1,4,1837,341,496,computation,"T78,T148",True
T151,Task_151,13,7,47,3,4,1726,889,27,computation,"T85,T93",False
T152,Task_152,37,2,35,4,2,1088,875,15,data-intensive,T138,True
T153,Task_153,19,3,59,1,1,1247,914,66,computation,T36,True
T154,Task_154,36,3,79,5,3,1245,214,474,computation,"T8,T101",False
T155,Task_155,35,10,26,3,1,1829,453,380,IO-bound,"T68,T12",False
T156,Task_156,4,2,63,1,3,1777,884,245,data-intensive,"T5,T33",True
T157,Task_157,22,5,43,4,2,1124,957,241,IO-bound,T58,False
T158,Task_158,7,8,21,1,3,962,806,5,IO-bound,,True
T159,Task_159,1,6,90,5,4,1352,118,142,computation,,True
T160,Task_160,33,5,64,5,2,425,538,426,data-intensive,,True
T161,Task_161,13,6,89,5,1,2002,394,378,data-intensive,T156,True
T162,Task_162,47,8,38,2,2,1276,350,195,IO-bound,,True
T163,Task_163,21,10,60,1,3,1768,628,130,computation,,True
T164,Task_164,21,2,32,1,4,332,555,37,data-intensive,"T10,T1",True
T165,Task_165,39,8,88,1,2,1118,750,430,IO-bound,T84,True
T166,Task_166,26,4,29,2,4,547,620,65,data-intensive,"T165,T148",True
T167,Task_167,6,9,78,5,4,425,627,3,computation,"T89,T35",False
T168,Task_168,5,4,84,2,3,397,338,328,computation,T23,False
T169,Task_169,34,9,99,1,1,1422,490,333,computation,"T126,T168",True
T170,Task_170,7,2,81,4,3,1612,105,206,computation,T5,False
T171,Task_171,15,7,60,2,2,1661,581,309,computation,"T170,T93",True
T172,Task_172,31,7,79,3,1,1479,464,143,IO-bound,,False
T173,Task_173,14,4,75,2,3,1423,297,447,data-intensive,"T149,T25",False
T174,Task_174,49,6,24,2,2,1946,679,357,computation,"T69,T79",False
T175,Task_175,44,9,68,4,3,1108,263,473,IO-bound,,True
T176,Task_176,2,10,93,5,3,1924,515,497,data-intensive,T41,False
T177,Task_177,4,6,69,2,2,586,569,266,IO-bound,,True
T178,Task_178,48,3,82,1,3,452,606,160,data-intensive,T143,True
T179,Task_179,29,1,42,5,1,289,117,455,data-intensive,T155,True
T180,Task_180,46,2,48,4,4,1310,555,149,IO-bound,T135,True
T181,Task_181,10,9,95,4,4,1645,213,278,computation,,False
T182,Task_182,39,8,98,4,2,1219,597,420,computation,,True
T183,Task_183,21,4,33,3,3,1723,574,158,IO-bound,T78,True
T184,Task_184,32,10,72,3,3,1701,796,310,IO-bound,,True
T185,Task_185,18,5,30,3,3,1868,1000,220,IO-bound,,True
T186,Task_186,18,8,80,5,2,477,375,358,computation,"T27,T32",False
T187,Task_187,13,6,82,3,4,1125,824,236,data-intensive,T150,True
T188,Task_188,46,1,98,4,1,417,143,67,data-intensive,T63,True
T189,Task_189,22,2,73,1,1,1883,366,268,IO-bound,"T9,T117",True
T190,Task_190,30,6,73,4,2,1771,178,371,computation,T22,False
T191,Task_191,36,10,62,2,4,408,514,260,data-intensive,"T179,T112",True
T192,Task_192,26,1,43,1,2,1678,797,300,IO-bound,T141,False
T193,Task_193,15,10,100,5,3,1536,532,87,computation,T128,False
T194,Task_194,29,10,75,1,4,1320,657,35,data-intensive,,False
T195,Task_195,35,8,32,2,1,731,648,312,computation,T143,False
T196,Task_196,1,7,51,2,1,1428,297,107,IO-bound,T78,False
T197,Task_197,4,6,40,1,2,1243,402,89,computation,,False
T198,Task_198,17,6,32,1,3,1625,963,222,data-intensive,T121,True
T199,Task_199,48,4,72,3,2,1372,346,370,data-intensive,T195,True
T200,Task_200,10,1,81,2,4,1263,469,106,data-intensive,T140,True
T201,Task_201,37,2,40,2,1,1649,122,272,computation,,False
T202,Task_202,19,4,60,2,2,1761,445,292,computation,T179,False
T203,Task_203,8,1,89,2,1,868,959,198,computation,,False
T204,Task_204,46,9,59,2,1,2045,532,133,IO-bound,T125,False
T205,Task_205,12,10,44,5,3,1055,233,319,computation,"T45,T195",True
T206,Task_206,44,3,49,3,3,855,704,24,data-intensive,T19,False
T207,Task_207,41,2,53,1,2,295,649,424,computation,"T107,T21",False
T208,Task_208,13,2,50,3,3,731,450,129,computation,"T166,T111",True
T209,Task_209,40,10,28,1,4,1087,128,126,IO-bound,"T134,T86",False
T210,Task_210,42,10,25,3,4,1804,593,468,data-intensive,"T128,T188",True
T211,Task_211,12,9,62,5,1,1586,975,432,IO-bound,"T2,T78",False
T212,Task_212,34,7,76,5,4,1728,144,170,computation,,False
T213,Task_213,12,2,29,2,4,435,830,59,data-intensive,"T92,T93",False
T214,Task_214,48,4,29,3,1,1896,383,211,computation,,True
T215,Task_215,48,8,97,3,1,1580,560,182,computation,"T12,T93",False
T216,Task_216,28,9,63,4,1,1859,772,343,IO-bound,,True
T217,Task_217,28,4,54,1,2,1946,252,301,data-intensive,T18,True
T218,Task_218,5,8,24,1,2,285,912,192,IO-bound,"T197,T71",True
T219,Task_219,9,4,59,5,4,988,317,396,data-intensive,"T193,T184",False
T220,Task_220,31,7,69,4,2,381,553,37,computation,,True
T221,Task_221,38,8,80,5,4,896,823,254,computation,T56,False
T222,Task_222,38,2,95,2,3,1524,692,110,data-intensive,"T176,T70",True
T223,Task_223,27,7,94,2,3,954,994,343,computation,,False
T224,Task_224,5,3,77,2,3,472,864,456,IO-bound,"T71,T38",True
T225,Task_225,34,7,86,2,3,1340,818,458,data-intensive,,False
T226,Task_226,13,7,36,4,4,427,833,183,data-intensive,,True
T227,Task_227,40,7,79,1,4,1188,601,134,data-intensive,T222,False
T228,Task_228,35,6,79,3,4,985,660,390,IO-bound,"T171,T35",True
T229,Task_229,2,5,49,3,1,691,853,437,computation,,False
T230,Task_230,13,3,36,2,4,807,675,52,data-intensive,T204,False
T231,Task_231,17,4,21,1,3,1042,993,32,data-intensive,,False
T232,Task_232,39,9,43,4,1,1181,248,457,computation,,True
T233,Task_233,27,10,39,1,1,1769,737,227,computation,"T33,T35",True
T234,Task_234,49,2,96,5,3,554,446,495,IO-bound,"T189,T229",True
T235,Task_235,44,4,76,1,2,1756,784,477,data-intensive,,True
T236,Task_236,12,6,72,4,3,1425,300,487,data-intensive,T227,False
T237,Task_237,30,9,89,2,3,1320,984,56,IO-bound,"T99,T80",True
T238,Task_238,38,3,83,2,4,1793,571,395,IO-bound,"T117,T165",False
T239,Task_239,25,2,32,4,4,974,650,74,computation,"T154,T134",True
T240,Task_240,16,3,100,5,1,1651,595,478,IO-bound,,True
T241,Task_241,17,10,50,5,4,1659,854,334,IO-bound,T196,True
T242,Task_242,30,4,49,1,1,1380,760,127,data-intensive,,False
T243,Task_243,9,2,79,3,2,822,938,112,data-intensive,"T133,T142",False
T244,Task_244,17,8,54,4,3,501,984,489,IO-bound,T105,False
T245,Task_245,36,2,99,4,1,1734,260,391,IO-bound,T201,False
T246,Task_246,33,6,20,4,2,1805,312,385,computation,,True
T247,Task_247,22,5,58,4,4,890,998,430,IO-bound,"T171,T140",False
T248,Task_248,1,9,48,5,1,958,297,50,computation,T54,True
T249,Task_249,11,9,61,2,4,1979,874,453,data-intensive,"T181,T104",False
T250,Task_250,24,1,36,1,1,710,499,335,data-intensive,,False
T251,Task_251,39,6,93,3,3,297,366,21,computation,,False
T252,Task_252,49,6,36,4,1,1351,648,478,IO-bound,,True
T253,Task_253,18,1,39,3,1,614,450,467,computation,"T23,T97",True
T254,Task_254,35,4,86,3,3,1691,459,415,computation,,False
T255,Task_255,12,9,38,2,3,375,929,268,IO-bound,,False
T256,Task_256,49,6,34,5,3,1844,703,233,data-intensive,T121,True
T257,Task_257,35,10,54,5,2,883,626,210,IO-bound,"T146,T195",True
T258,Task_258,11,5,52,5,3,452,961,48,IO-bound,"T82,T120",False
T259,Task_259,47,1,25,3,1,1695,285,332,data-intensive,,False
T260,Task_260,32,3,38,2,3,400,546,281,IO-bound,,False
T261,Task_261,15,7,40,5,3,1913,630,263,computation,"T240,T103",False
T262,Task_262,41,10,76,2,4,501,733,248,computation,T20,False
T263,Task_263,33,6,87,1,4,559,727,342,data-intensive,,False
T264,Task_264,16,10,69,1,2,1604,776,181,data-intensive,T139,False
T265,Task_265,24,3,30,4,2,871,753,185,data-intensive,"T172,T144",True
T266,Task_266,40,7,83,1,2,523,934,362,data-intensive,T147,False
T267,Task_267,26,7,95,4,2,928,461,334,computation,"T175,T266",False
T268,Task_268,8,7,73,3,3,1800,863,118,IO-bound,"T19,T232",True
T269,Task_269,38,3,25,5,2,1833,362,341,computation,,True
T270,Task_270,5,8,46,1,4,495,777,444,IO-bound,,False
T271,Task_271,15,2,59,4,4,1983,439,444,IO-bound,,True
T272,Task_272,8,8,65,4,4,440,688,182,IO-bound,T209,False
T273,Task_273,17,8,97,5,1,661,404,79,IO-bound,,False
T274,Task_274,4,5,93,1,4,1207,845,23,data-intensive,T239,True
T275,Task_275,34,10,88,1,2,1137,662,450,computation,,True
T276,Task_276,6,9,36,4,3,700,969,493,computation,"T223,T46",True
T277,Task_277,21,2,32,4,3,599,520,93,data-intensive,,False
T278,Task_278,33,9,27,4,4,526,817,51,IO-bound,,True
T279,Task_279,6,7,84,1,4,649,559,189,IO-bound,T121,False
T280,Task_280,39,8,29,5,4,1152,352,320,data-intensive,T232,False
T281,Task_281,11,1,78,2,1,1059,289,61,computation,T277,True
T282,Task_282,39,8,62,5,3,1819,178,344,data-intensive,,False
T283,Task_283,36,5,29,1,2,680,923,386,data-intensive,,True
T284,Task_284,31,2,53,4,4,1580,334,288,IO-bound,,False
T285,Task_285,30,3,26,5,2,427,961,434,IO-bound,,False
T286,Task_286,21,2,30,2,1,518,653,234,data-intensive,"T215,T202",False
T287,Task_287,41,10,78,3,2,770,722,240,IO-bound,"T213,T141",True
T288,Task_288,17,7,65,2,4,1325,245,396,data-intensive,"T88,T89",False
T289,Task_289,7,10,50,2,2,1177,225,317,data-intensive,,True
T290,Task_290,6,6,79,4,4,320,840,244,IO-bound,,False
T291,Task_291,3,6,67,1,1,1746,699,470,data-intensive,T178,True
T292,Task_292,31,3,83,3,3,1178,858,472,computation,"T198,T30",True
T293,Task_293,43,8,55,3,4,1548,807,455,data-intensive,"T105,T77",False
T294,Task_294,6,3,65,2,4,1999,996,328,IO-bound,T41,True
T295,Task_295,34,4,64,1,4,2016,742,141,IO-bound,T91,True
T296,Task_296,31,7,31,5,2,1007,844,456,computation,,True
T297,Task_297,28,6,76,2,2,878,753,25,IO-bound,,True
T298,Task_298,47,1,66,5,4,1742,404,417,IO-bound,T262,True
T299,Task_299,50,2,57,1,4,772,662,203,IO-bound,,True
T300,Task_300,47,5,67,1,1,648,168,223,data-intensive,"T133,T215",False
T301,Task_301,12,8,45,2,4,400,670,426,data-intensive,,False
T302,Task_302,47,9,98,3,3,1846,926,185,computation,,True
T303,Task_303,3,3,82,1,4,2036,584,387,IO-bound,T263,False
T304,Task_304,33,8,37,4,1,969,616,176,computation,,False
T305,Task_305,18,4,34,4,1,1849,207,26,IO-bound,"T96,T270",True
T306,Task_306,34,3,24,3,3,2037,569,289,data-intensive,T34,False
T307,Task_307,28,4,78,5,2,1086,648,471,data-intensive,T227,False
T308,Task_308,38,10,31,5,2,1810,839,116,computation,,False
T309,Task_309,2,9,82,2,3,330,144,40,data-intensive,,True
T310,Task_310,12,8,46,4,3,1162,952,465,data-intensive,,False
T311,Task_311,13,6,68,2,2,1974,126,189,computation,T288,False
T312,Task_312,47,3,87,1,2,1808,925,308,data-intensive,"T230,T77",False
T313,Task_313,42,6,89,1,3,903,127,137,IO-bound,T278,True
T314,Task_314,45,7,77,4,1,1310,348,176,data-intensive,,False
T315,Task_315,36,2,90,4,4,634,515,97,computation,T269,True
T316,Task_316,36,8,89,3,1,1106,457,101,computation,,True
T317,Task_317,48,2,50,5,2,558,224,402,data-intensive,,False
T318,Task_318,24,10,37,1,4,1828,485,447,IO-bound,,False
T319,Task_319,34,9,95,5,1,1267,365,495,IO-bound,"T165,T113",False
T320,Task_320,8,6,28,4,3,1306,650,270,data-intensive,"T190,T85",False
T321,Task_321,39,4,59,2,3,1118,967,448,IO-bound,T246,False
T322,Task_322,22,4,66,5,1,329,863,403,computation,"T179,T259",False
T323,Task_323,46,1,95,5,2,1772,139,490,data-intensive,"T55,T26",True
T324,Task_324,49,6,58,2,4,1394,419,284,data-intensive,T58,False
T325,Task_325,45,1,67,1,3,565,112,178,IO-bound,"T201,T123",True
T326,Task_326,13,6,31,3,2,571,106,377,data-intensive,,False
T327,Task_327,40,9,85,1,3,502,154,433,data-intensive,,True
T328,Task_328,27,8,41,3,3,1424,377,187,data-intensive,,False
T329,Task_329,10,5,89,1,2,1005,697,218,computation,,True
T330,Task_330,20,2,56,2,3,1419,382,238,data-intensive,,False
T331,Task_331,30,8,62,1,3,1242,456,416,computation,,True
T332,Task_332,39,9,63,3,3,1572,600,269,IO-bound,T31,True
T333,Task_333,47,6,67,3,4,1467,744,299,IO-bound,,False
T334,Task_334,24,7,85,5,1,1955,762,314,IO-bound,,True
T335,Task_335,42,4,52,3,1,1691,311,323,IO-bound,,True
T336,Task_336,12,1,23,3,2,1306,422,279,IO-bound,,False
T337,Task_337,34,10,25,1,4,879,957,444,IO-bound,T6,False
T338,Task_338,49,4,89,5,3,263,238,434,data-intensive,T117,False
T339,Task_339,13,4,20,3,4,435,486,261,data-intensive,T128,False
T340,Task_340,21,3,20,2,4,1765,745,270,data-intensive,"T58,T29",False
T341,Task_341,48,4,70,4,2,1200,241,164,data-intensive,T191,True
T342,Task_342,20,1,88,2,3,344,499,228,IO-bound,,True
T343,Task_343,14,2,29,1,3,927,371,471,IO-bound,,True
T344,Task_344,32,8,98,3,4,769,440,204,data-intensive,"T238,T193",True
T345,Task_345,39,3,23,3,3,1323,475,367,data-intensive,T227,False
T346,Task_346,31,9,34,4,2,1048,850,22,IO-bound,,False
T347,Task_347,31,3,81,5,3,1290,822,318,computation,,False
T348,Task_348,9,3,35,3,4,300,219,133,data-intensive,T194,False
T349,Task_349,25,3,91,3,2,1713,764,102,data-intensive,,False
T350,Task_350,6,4,29,1,4,829,591,353,data-intensive,T67,True
T351,Task_351,15,10,62,4,4,533,351,89,computation,"T188,T60",True
T352,Task_352,46,8,33,5,1,1058,392,320,IO-bound,,False
T353,Task_353,12,7,31,1,1,1648,878,225,data-intensive,T52,False
T354,Task_354,8,6,33,2,3,388,442,309,IO-bound,,False
T355,Task_355,25,6,21,2,2,1554,296,58,computation,T1,False
T356,Task_356,29,6,23,4,4,454,164,235,IO-bound,T42,True
T357,Task_357,2,10,79,2,1,1191,748,223,computation,,False
T358,Task_358,1,9,35,5,2,446,637,140,IO-bound,,False
T359,Task_359,9,1,92,3,2,368,878,116,IO-bound,,True
T360,Task_360,21,1,32,2,3,592,972,464,computation,,False
T361,Task_361,26,1,43,1,3,356,321,485,IO-bound,T96,False
T362,Task_362,2,2,77,3,4,1548,842,333,computation,T288,False
T363,Task_363,48,4,81,1,2,1454,601,235,data-intensive,,False
T364,Task_364,15,9,49,1,3,1483,918,318,data-intensive,T84,False
T365,Task_365,35,1,79,5,4,258,353,38,data-intensive,"T221,T8",True
T366,Task_366,34,4,56,3,3,326,556,418,computation,T210,True
T367,Task_367,0,10,88,1,1,960,325,338,IO-bound,,True
T368,Task_368,32,9,50,4,3,1196,908,368,data-intensive,"T346,T366",True
T369,Task_369,50,7,40,2,2,1226,729,365,data-intensive,T347,True
T370,Task_370,49,4,27,4,2,1266,533,460,IO-bound,,True
T371,Task_371,6,6,91,5,1,273,994,433,IO-bound,,False
T372,Task_372,8,6,97,2,2,1795,655,160,IO-bound,T318,False
T373,Task_373,21,10,72,3,4,420,491,474,IO-bound,,False
T374,Task_374,14,10,63,5,1,1216,295,377,IO-bound,,False
T375,Task_375,48,10,78,5,2,1461,935,151,IO-bound,"T70,T337",False
T376,Task_376,18,9,79,2,1,1801,765,195,computation,T170,True
T377,Task_377,6,7,70,5,2,1817,749,182,data-intensive,,False
T378,Task_378,35,3,44,3,3,1481,830,60,data-intensive,,False
T379,Task_379,22,4,52,4,2,1829,809,140,IO-bound,,True
T380,Task_380,15,4,66,2,3,1924,730,279,computation,T87,True
T381,Task_381,9,1,47,5,4,1759,765,186,IO-bound,T147,True
T382,Task_382,14,7,90,5,4,491,945,454,computation,,False
T383,Task_383,11,10,59,4,3,1706,854,352,IO-bound,T95,False
T384,Task_384,19,8,39,5,2,1378,956,107,IO-bound,"T328,T9",True
T385,Task_385,27,7,83,1,3,389,130,207,IO-bound,"T264,T227",True
T386,Task_386,3,6,70,2,3,1032,675,81,computation,T148,True
T387,Task_387,42,9,99,2,4,1693,494,58,IO-bound,T249,True
T388,Task_388,29,10,45,1,2,1764,271,100,data-intensive,"T342,T374",True
T389,Task_389,17,6,24,5,3,972,546,228,data-intensive,T317,False
T390,Task_390,21,1,26,2,1,436,954,218,data-intensive,"T246,T69",False
T391,Task_391,42,9,63,4,4,1708,318,178,data-intensive,T163,True
T392,Task_392,26,8,33,1,3,275,105,325,computation,,False
T393,Task_393,24,4,98,1,4,1777,429,260,IO-bound,"T79,T100",False
T394,Task_394,38,5,37,3,2,623,553,141,IO-bound,"T135,T33",True
